Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-uat-utils-down-00,bosswireless-uat-utils-down-00,CloudWatch,Alarm,us-east-1,13,team_boss_wireless
i-0663c7349f7bc82c9,bosswireless-prod,EC2,Instance,us-east-1,17,team_boss_wireless
i-0b1a30830afa7585a,bosswireless-prod,EC2,Instance,us-east-1,17,team_boss_wireless
sg-02ff97acb178cae05,bosswireless-uat-ecs-ec2,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-07429788f44d26f05,bosswireless-prod-asg-local,EC2,SecurityGroup,us-east-1,13,team_boss_wireless
sg-07b3ff7a96d3807b5,bosswireless-prod-ecs-cloudfront-access,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
snap-0117ad6044cbec2c8,(not tagged),EC2,Snapshot,us-east-1,2,team_boss_wireless
snap-84e4481b,(not tagged),EC2,Snapshot,us-east-1,7,team_boss_wireless
vol-021049f64a81f8d0b,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:109,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:145,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:155,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:110,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:123,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:140,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:107,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:127,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:119,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:97,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:104,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:133,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:141,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:102,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:114,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-consul-agent:5,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-customer-tier-switcher:22,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:156,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-promo-handler:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-brmobile-api:55,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:96,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-customer-tier-switcher:22,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mvno-plan-store:14,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:139,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-brmobile-api:37,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:111,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:132,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:126,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
